index,tfidf
polity,0.2765534808081514
stross,0.19658789320977263
glasshouse,0.19658789320977263
experiment,0.16178349521303
based,0.15619573706103473
refers,0.15481117764501554
century,0.13416839157712215
suspect,0.13037336563633875
chapter,0.12298647040327615
prison,0.11600100586593105
prisoner,0.11600100586593105
guard,0.11497936463209185
program,0.11303446208025843
culture,0.1094850078539602
military,0.09958536362784494
foucault,0.09829394660488631
uk,0.09829394660488631
excision,0.09829394660488631
gaze,0.09829394660488631
omnipresent,0.09829394660488631
plethora,0.09829394660488631
reeve,0.09829394660488631
roofed,0.09829394660488631
router,0.09829394660488631
accelerando,0.09829394660488631
panopticon,0.09829394660488631
internalize,0.09829394660488631
aldershot,0.09829394660488631
conform,0.09829394660488631
novel,0.09568360847584814
27th,0.09218449360271713
recreate,0.09218449360271713
michel,0.09218449360271713
featured,0.09218449360271713
raged,0.09218449360271713
philosopher,0.08784976771369704
unfolds,0.08784976771369704
robin,0.08784976771369704
societal,0.08784976771369704
barrack,0.08784976771369704
sinister,0.08448749310059367
detention,0.08448749310059367
rehabilitation,0.08448749310059367
forming,0.08448749310059367
19th,0.08448749310059367
tend,0.08448749310059367
participant,0.08448749310059367
portrayed,0.08174031471152786
exploit,0.08174031471152786
targeted,0.08174031471152786
20th,0.07941760847904525
context,0.07941760847904525
traumatic,0.07941760847904525
suspecting,0.07941760847904525
bulk,0.07941760847904525
wormhole,0.07740558882250777
model,0.07740558882250777
ideal,0.07563086170935866
founder,0.07563086170935866
forgotten,0.07563086170935866
criminal,0.07563086170935866
mid,0.0726072028091912
engaged,0.0726072028091912
formerly,0.0726072028091912
glass,0.0726072028091912
transferred,0.0726072028091912
21st,0.07129613582033857
centre,0.07129613582033857
recovering,0.07129613582033857
radical,0.07129613582033857
type,0.070090071103748
remembers,0.070090071103748
constructed,0.06897342958785597
realises,0.06897342958785597
war,0.06877326283343277
watching,0.06793386120723521
way,0.06708691913731285
sign,0.06604793237096825
assassination,0.06437201062886594
role,0.06359913531821511
held,0.06286397658568678
conspiracy,0.06286397658568678
isolated,0.06286397658568678
male,0.06216302391800191
dark,0.061493235201638075
human,0.061320456400436686
lived,0.0608519569291493
spread,0.06023686070511175
struggle,0.05852925069666669
question,0.05800050293296553
slowly,0.057489682316045926
center,0.057489682316045926
social,0.057489682316045926
